    Jharana Bajracharya
    Basundhara Bhusal
    Bhumika Shrestha
    Rima Bishwokarma
    Bhuwan Chand
    Deepika Prasain
    Muna Gauchan
    Romi Wani Ghimire
    Rishma Gurung
    Benisha Hamal
    Jassita Gurung
    Jiya K.C.
    Malina Joshi
    Priyanka Karki
    Sushma Karki
    Swastima Khadka
    Roshni Khatri
    Dichen Lachman
    Sarita Lamichhane
    Barsha Lekhi
    Gauri Malla
    Sharmila Malla
    Karishma Manandhar
    Melina Manandhar
    Deeya Maskey
    Shanti Maskey
    Shilpa Maskey
    Tripti Nadakar
    Ashishma Nakarmi
    Mithila Sharma
    Mariska Pokharel
    Pooja Sharma (Nepalese actress)
    Usha Poudel
    Alisha Rai
    Paramita RL Rana
    Srijana Regmi
    Jal Shah
    Aanchal Sharma
    Anna Sharma
    Asmi Shrestha
    Prakriti Shrestha
    Raveena Desraj Shrestha
    Niruta Singh
    Mala Sinha
    Malvika Subba
    Rekha Thapa
    Suhana Thapa
