    Anarkali Akarsha
    Damitha Abeyratne
    Dulani Anuradha
    Jackson Anthony
    Joe Abeywickrama
    Kamal Addararachchi
    Sriyani Amarasena
    Tissa Abeysekara
    K. S. Balachandran
    Mabel Blythe
    Nilmini Buwaneka
    Ramani Bartholomeusz
    Yolande Bavan
    Jagath Chamila
    Poongkothai Chandrahasan
    Pubudu Chathuranga
    Tennison Cooray
    Vasanthi Chathurani
    Anusha Damayanthi
    Darshan Dharmaraj
    Lucky Dias
    Ruby de Mel
    Rukmani Devi
    Saranga Disasekara
    Somasiri Dehipitiya
    Wimal Kumara de Costa
    Dilhani Ekanayake
    Gamini Fonseka
    Hugo Fernando
    Jacqueline Fernandez
    Malini Fonseka
    Nilukshi Fernando
    Nita Fernando
    Sanath Gunathilake
    Dayananda Gunawardena
    Denawaka Hamine
    Gamini Haththotuwegama
    Maureen Hingert
    Nimmi Harasgama
    Punya Heendeniya
    T. B. Ilangaratne
    Anarkalli Aakarsha Jayatilaka
    Anton Jude
    B. A. W. Jayamanne
    Dhamma Jagoda
    Dommie Jayawardena
    Eddie Jayamanne
    Eddie Junior
    Henry Jayasena
    Prem Jayanth
    Suresh Joachim
    Thushari Jayasekera
    Amarasiri Kalansuriya
    Geetha Kumarasinghe
    Jeewan Kumaranatunga
    Menik Kurukulasuriya
    Rex Kodippili
    Sandhya Kumari
    Sarala Kariyawasam
    Sarath Kothalawala
    Vijaya Kumaranatunga
    Thusitha Laknath
    Shanthi Lekha
    Albert Moses
    Cletus Mendis
    Duleeka Marapana
    Michelle Dilhara
    Sriyantha Mendis
    Swarna Mallawarachchi
    D. R. Nanayakkara
    Vijaya Nandasiri
    Channa Perera
    Chathurika Peiris
    Dasun Pathirana
    Dinakshie Priyasad
    H. A. Perera
    N. M. Perera
    Sabeetha Perera
    Shanudrie Priyasad
    Shesha Palihakkara
    Uddika Premarathna
    Ranjan Ramanayake
    Tony Ranasinghe
    Roshan Ranawana
    Ravindra Randeniya
    Rita Ratnayake
    Roshan Pilapitiya
    Rangana Premaratne
    Menaka Rajapakse
    Roshan Ravindra
    Hemal Ranasinghe
    King Ratnam
    Bandu Samarasinghe
    Deepani Silva
    Freddie Silva
    Iranganie Serasinghe
    Mihira Sirithilaka
    Nihal Silva
    Niranjani Shanmugaraja
    Sachini Ayendra Stanley
    Suminda Sirisena
    Upeksha Swarnamali
    Muthu Tharanga
    Shalani Tharaka
    Kumara Thirimadura
    Pooja Umashankar
    Pearl Vasudevi
    Anoja Weerasinghe
    Cyril Wickramage
    Rodney Warnakula
    Sangeetha Weeraratne
    Yashoda Wimaladharma
